#    km   O [cm-3]  N2 [cm-3]  O2 [cm-3]  He [cm-3]
  503.4  1.927E+06  7.393E+03  9.845E+01  3.902E+06
  504.0  1.902E+06  7.222E+03  9.586E+01  3.889E+06
  504.6  1.877E+06  7.056E+03  9.334E+01  3.876E+06
  505.2  1.852E+06  6.894E+03  9.089E+01  3.863E+06
  505.8  1.828E+06  6.735E+03  8.850E+01  3.850E+06
  506.4  1.803E+06  6.580E+03  8.617E+01  3.837E+06
  507.0  1.780E+06  6.428E+03  8.391E+01  3.825E+06
  507.6  1.756E+06  6.280E+03  8.171E+01  3.812E+06
  508.2  1.733E+06  6.136E+03  7.956E+01  3.799E+06
  508.8  1.710E+06  5.995E+03  7.747E+01  3.787E+06
  509.4  1.687E+06  5.857E+03  7.544E+01  3.774E+06
  510.0  1.665E+06  5.722E+03  7.346E+01  3.761E+06
  510.6  1.643E+06  5.590E+03  7.153E+01  3.749E+06
  511.2  1.621E+06  5.462E+03  6.966E+01  3.737E+06
  511.8  1.600E+06  5.336E+03  6.783E+01  3.724E+06
  512.4  1.579E+06  5.214E+03  6.605E+01  3.712E+06
  513.0  1.558E+06  5.094E+03  6.432E+01  3.699E+06
  513.6  1.537E+06  4.977E+03  6.263E+01  3.687E+06
  514.2  1.517E+06  4.862E+03  6.099E+01  3.675E+06
  514.8  1.497E+06  4.751E+03  5.939E+01  3.663E+06
  515.4  1.477E+06  4.642E+03  5.784E+01  3.651E+06
  516.0  1.458E+06  4.535E+03  5.632E+01  3.639E+06
  516.6  1.439E+06  4.431E+03  5.485E+01  3.627E+06
  517.2  1.420E+06  4.329E+03  5.341E+01  3.615E+06
  517.8  1.401E+06  4.230E+03  5.201E+01  3.603E+06
  518.4  1.383E+06  4.133E+03  5.065E+01  3.591E+06
  519.0  1.364E+06  4.038E+03  4.932E+01  3.579E+06
  519.6  1.346E+06  3.945E+03  4.803E+01  3.567E+06
  520.2  1.329E+06  3.855E+03  4.678E+01  3.555E+06
  520.8  1.311E+06  3.767E+03  4.555E+01  3.543E+06
  521.4  1.294E+06  3.680E+03  4.436E+01  3.532E+06
  522.0  1.277E+06  3.596E+03  4.320E+01  3.520E+06
  522.6  1.260E+06  3.513E+03  4.207E+01  3.508E+06
  523.2  1.243E+06  3.433E+03  4.097E+01  3.497E+06
  523.8  1.227E+06  3.354E+03  3.990E+01  3.485E+06
  524.4  1.211E+06  3.277E+03  3.886E+01  3.474E+06
  525.0  1.195E+06  3.202E+03  3.784E+01  3.462E+06
  525.6  1.179E+06  3.129E+03  3.685E+01  3.451E+06
  526.2  1.164E+06  3.057E+03  3.589E+01  3.439E+06
  526.8  1.149E+06  2.987E+03  3.495E+01  3.428E+06
  527.4  1.133E+06  2.919E+03  3.404E+01  3.417E+06
  528.0  1.119E+06  2.852E+03  3.315E+01  3.405E+06
  528.6  1.104E+06  2.787E+03  3.229E+01  3.394E+06
  529.2  1.089E+06  2.723E+03  3.144E+01  3.383E+06
  529.8  1.075E+06  2.661E+03  3.062E+01  3.372E+06
  530.4  1.061E+06  2.600E+03  2.982E+01  3.361E+06
  531.0  1.047E+06  2.541E+03  2.905E+01  3.350E+06
  531.6  1.033E+06  2.483E+03  2.829E+01  3.338E+06
  532.2  1.020E+06  2.426E+03  2.755E+01  3.327E+06
  532.8  1.006E+06  2.371E+03  2.683E+01  3.317E+06
  533.4  9.931E+05  2.316E+03  2.613E+01  3.306E+06
  534.0  9.801E+05  2.263E+03  2.545E+01  3.295E+06
  534.6  9.672E+05  2.212E+03  2.479E+01  3.284E+06
  535.2  9.545E+05  2.161E+03  2.414E+01  3.273E+06
  535.8  9.420E+05  2.112E+03  2.351E+01  3.262E+06
  536.4  9.297E+05  2.064E+03  2.290E+01  3.251E+06
  537.0  9.175E+05  2.017E+03  2.231E+01  3.241E+06
  537.6  9.055E+05  1.971E+03  2.173E+01  3.230E+06
  538.2  8.936E+05  1.926E+03  2.116E+01  3.219E+06
  538.8  8.819E+05  1.882E+03  2.061E+01  3.209E+06
  539.4  8.703E+05  1.839E+03  2.007E+01  3.198E+06
  540.0  8.589E+05  1.797E+03  1.955E+01  3.188E+06
  540.6  8.477E+05  1.756E+03  1.904E+01  3.177E+06
  541.2  8.366E+05  1.716E+03  1.855E+01  3.167E+06
  541.8  8.257E+05  1.677E+03  1.806E+01  3.156E+06
  542.4  8.149E+05  1.639E+03  1.759E+01  3.146E+06
  543.0  8.042E+05  1.601E+03  1.714E+01  3.136E+06
  543.6  7.937E+05  1.565E+03  1.669E+01  3.125E+06
  544.2  7.833E+05  1.529E+03  1.626E+01  3.115E+06
  544.8  7.730E+05  1.494E+03  1.584E+01  3.105E+06
  545.4  7.629E+05  1.460E+03  1.542E+01  3.095E+06
  546.0  7.530E+05  1.427E+03  1.502E+01  3.085E+06
  546.6  7.431E+05  1.395E+03  1.463E+01  3.074E+06
  547.2  7.334E+05  1.363E+03  1.425E+01  3.064E+06
  547.8  7.238E+05  1.332E+03  1.388E+01  3.054E+06
  548.4  7.144E+05  1.302E+03  1.352E+01  3.044E+06
  549.0  7.050E+05  1.272E+03  1.317E+01  3.034E+06
  549.6  6.958E+05  1.243E+03  1.283E+01  3.024E+06
  550.2  6.868E+05  1.215E+03  1.250E+01  3.014E+06
  550.8  6.778E+05  1.187E+03  1.217E+01  3.005E+06
  551.4  6.689E+05  1.160E+03  1.186E+01  2.995E+06
  552.0  6.602E+05  1.134E+03  1.155E+01  2.985E+06
  552.6  6.516E+05  1.108E+03  1.125E+01  2.975E+06
  553.2  6.431E+05  1.083E+03  1.096E+01  2.965E+06
  553.8  6.347E+05  1.058E+03  1.068E+01  2.956E+06
  554.4  6.264E+05  1.034E+03  1.040E+01  2.946E+06
  555.0  6.183E+05  1.011E+03  1.013E+01  2.936E+06
  555.6  6.102E+05  9.878E+02  9.867E+00  2.927E+06
  556.2  6.023E+05  9.654E+02  9.611E+00  2.917E+06
  556.8  5.944E+05  9.435E+02  9.363E+00  2.908E+06
  557.4  5.867E+05  9.220E+02  9.120E+00  2.898E+06
  558.0  5.790E+05  9.011E+02  8.884E+00  2.889E+06
  558.6  5.715E+05  8.807E+02  8.654E+00  2.879E+06
  559.2  5.640E+05  8.607E+02  8.430E+00  2.870E+06
  559.8  5.567E+05  8.412E+02  8.212E+00  2.860E+06
  560.4  5.494E+05  8.221E+02  8.000E+00  2.851E+06
  561.0  5.423E+05  8.035E+02  7.793E+00  2.842E+06
  561.6  5.352E+05  7.853E+02  7.591E+00  2.832E+06
  562.2  5.283E+05  7.675E+02  7.395E+00  2.823E+06
  562.8  5.214E+05  7.501E+02  7.204E+00  2.814E+06
  563.4  5.146E+05  7.331E+02  7.018E+00  2.805E+06
  564.0  5.079E+05  7.165E+02  6.836E+00  2.795E+06
  564.6  5.013E+05  7.003E+02  6.660E+00  2.786E+06
  565.2  4.948E+05  6.844E+02  6.488E+00  2.777E+06
  565.8  4.884E+05  6.689E+02  6.320E+00  2.768E+06
  566.4  4.820E+05  6.538E+02  6.157E+00  2.759E+06
  567.0  4.758E+05  6.390E+02  5.998E+00  2.750E+06
  567.6  4.696E+05  6.246E+02  5.843E+00  2.741E+06
  568.2  4.635E+05  6.104E+02  5.692E+00  2.732E+06
  568.8  4.575E+05  5.966E+02  5.545E+00  2.723E+06
  569.4  4.515E+05  5.831E+02  5.402E+00  2.714E+06
  570.0  4.457E+05  5.699E+02  5.263E+00  2.706E+06
  570.6  4.399E+05  5.571E+02  5.127E+00  2.697E+06
  571.2  4.342E+05  5.445E+02  4.995E+00  2.688E+06
  571.8  4.285E+05  5.322E+02  4.866E+00  2.679E+06
  572.4  4.230E+05  5.201E+02  4.741E+00  2.670E+06
  573.0  4.175E+05  5.084E+02  4.619E+00  2.662E+06
  573.6  4.121E+05  4.969E+02  4.500E+00  2.653E+06
  574.2  4.067E+05  4.857E+02  4.384E+00  2.644E+06
  574.8  4.015E+05  4.747E+02  4.271E+00  2.636E+06
  575.4  3.963E+05  4.640E+02  4.161E+00  2.627E+06
  576.0  3.911E+05  4.535E+02  4.054E+00  2.619E+06
  576.6  3.861E+05  4.433E+02  3.949E+00  2.610E+06
  577.2  3.811E+05  4.333E+02  3.848E+00  2.602E+06
  577.8  3.761E+05  4.235E+02  3.749E+00  2.593E+06
  578.4  3.712E+05  4.140E+02  3.652E+00  2.585E+06
  579.0  3.664E+05  4.046E+02  3.558E+00  2.576E+06
  579.6  3.617E+05  3.955E+02  3.467E+00  2.568E+06
  580.2  3.570E+05  3.866E+02  3.377E+00  2.560E+06
  580.8  3.524E+05  3.779E+02  3.291E+00  2.551E+06
  581.4  3.478E+05  3.694E+02  3.206E+00  2.543E+06
  582.0  3.433E+05  3.611E+02  3.124E+00  2.535E+06
  582.6  3.389E+05  3.529E+02  3.043E+00  2.526E+06
  583.2  3.345E+05  3.450E+02  2.965E+00  2.518E+06
  583.8  3.302E+05  3.372E+02  2.889E+00  2.510E+06
  584.4  3.259E+05  3.296E+02  2.815E+00  2.502E+06
  585.0  3.217E+05  3.222E+02  2.742E+00  2.494E+06
  585.6  3.175E+05  3.149E+02  2.672E+00  2.486E+06
  586.2  3.134E+05  3.078E+02  2.603E+00  2.478E+06
  586.8  3.094E+05  3.009E+02  2.536E+00  2.470E+06
  587.4  3.054E+05  2.942E+02  2.471E+00  2.462E+06
  588.0  3.014E+05  2.875E+02  2.408E+00  2.454E+06
  588.6  2.976E+05  2.811E+02  2.346E+00  2.446E+06
  589.2  2.937E+05  2.747E+02  2.286E+00  2.438E+06
  589.8  2.899E+05  2.686E+02  2.227E+00  2.430E+06
  590.4  2.862E+05  2.625E+02  2.170E+00  2.422E+06
  591.0  2.825E+05  2.566E+02  2.115E+00  2.414E+06
  591.6  2.788E+05  2.509E+02  2.060E+00  2.406E+06
  592.2  2.752E+05  2.452E+02  2.008E+00  2.398E+06
  592.8  2.717E+05  2.397E+02  1.956E+00  2.391E+06
  593.4  2.682E+05  2.343E+02  1.906E+00  2.383E+06
  594.0  2.647E+05  2.291E+02  1.857E+00  2.375E+06
  594.6  2.613E+05  2.239E+02  1.810E+00  2.368E+06
  595.2  2.580E+05  2.189E+02  1.763E+00  2.360E+06
  595.8  2.546E+05  2.140E+02  1.718E+00  2.352E+06
  596.4  2.513E+05  2.092E+02  1.674E+00  2.345E+06
  597.0  2.481E+05  2.045E+02  1.631E+00  2.337E+06
  597.6  2.449E+05  1.999E+02  1.589E+00  2.329E+06
  598.2  2.418E+05  1.954E+02  1.549E+00  2.322E+06
  598.8  2.386E+05  1.910E+02  1.509E+00  2.314E+06
  599.4  2.356E+05  1.868E+02  1.471E+00  2.307E+06
