#    km   O [cm-3]  N2 [cm-3]  O2 [cm-3]  He [cm-3]
   82.2  9.262E+09  1.401E+14  3.726E+13  9.968E+08
   82.8  1.256E+10  1.284E+14  3.412E+13  9.182E+08
   83.4  1.677E+10  1.177E+14  3.124E+13  8.461E+08
   84.0  2.205E+10  1.078E+14  2.861E+13  7.800E+08
   84.6  2.857E+10  9.880E+13  2.619E+13  7.193E+08
   85.2  3.647E+10  9.052E+13  2.397E+13  6.636E+08
   85.8  4.588E+10  8.292E+13  2.193E+13  6.126E+08
   86.4  5.688E+10  7.596E+13  2.006E+13  5.657E+08
   87.0  6.954E+10  6.957E+13  1.835E+13  5.228E+08
   87.6  8.384E+10  6.371E+13  1.678E+13  4.834E+08
   88.2  9.975E+10  5.833E+13  1.534E+13  4.473E+08
   88.8  1.171E+11  5.340E+13  1.403E+13  4.141E+08
   89.4  1.358E+11  4.888E+13  1.282E+13  3.838E+08
   90.0  1.556E+11  4.474E+13  1.171E+13  3.559E+08
   90.6  1.761E+11  4.093E+13  1.069E+13  3.303E+08
   91.2  1.971E+11  3.744E+13  9.755E+12  3.069E+08
   91.8  2.183E+11  3.424E+13  8.898E+12  2.853E+08
   92.4  2.391E+11  3.129E+13  8.110E+12  2.655E+08
   93.0  2.593E+11  2.858E+13  7.387E+12  2.472E+08
   93.6  2.785E+11  2.609E+13  6.722E+12  2.304E+08
   94.2  2.963E+11  2.380E+13  6.111E+12  2.150E+08
   94.8  3.125E+11  2.169E+13  5.550E+12  2.008E+08
   95.4  3.268E+11  1.976E+13  5.035E+12  1.877E+08
   96.0  3.390E+11  1.798E+13  4.563E+12  1.757E+08
   96.6  3.490E+11  1.635E+13  4.130E+12  1.646E+08
   97.2  3.567E+11  1.485E+13  3.734E+12  1.544E+08
   97.8  3.621E+11  1.348E+13  3.372E+12  1.450E+08
   98.4  3.652E+11  1.222E+13  3.041E+12  1.364E+08
   99.0  3.662E+11  1.108E+13  2.738E+12  1.284E+08
   99.6  3.651E+11  1.003E+13  2.463E+12  1.211E+08
  100.2  3.622E+11  9.070E+12  2.212E+12  1.144E+08
  100.8  3.575E+11  8.197E+12  1.985E+12  1.082E+08
  101.4  3.512E+11  7.402E+12  1.778E+12  1.025E+08
  102.0  3.436E+11  6.679E+12  1.592E+12  9.729E+07
  102.6  3.349E+11  6.023E+12  1.423E+12  9.247E+07
  103.2  3.253E+11  5.428E+12  1.270E+12  8.803E+07
  103.8  3.149E+11  4.890E+12  1.133E+12  8.393E+07
  104.4  3.039E+11  4.402E+12  1.010E+12  8.015E+07
  105.0  2.925E+11  3.961E+12  8.988E+11  7.666E+07
  105.6  2.808E+11  3.564E+12  7.995E+11  7.342E+07
  106.2  2.689E+11  3.205E+12  7.106E+11  7.042E+07
  106.8  2.570E+11  2.881E+12  6.311E+11  6.763E+07
  107.4  2.451E+11  2.589E+12  5.601E+11  6.502E+07
  108.0  2.333E+11  2.327E+12  4.968E+11  6.259E+07
  108.6  2.217E+11  2.091E+12  4.404E+11  6.031E+07
  109.2  2.102E+11  1.878E+12  3.903E+11  5.817E+07
  109.8  1.990E+11  1.687E+12  3.457E+11  5.615E+07
  110.4  1.881E+11  1.515E+12  3.061E+11  5.423E+07
  111.0  1.776E+11  1.361E+12  2.710E+11  5.242E+07
  111.6  1.674E+11  1.223E+12  2.400E+11  5.071E+07
  112.2  1.576E+11  1.099E+12  2.125E+11  4.908E+07
  112.8  1.483E+11  9.888E+11  1.883E+11  4.755E+07
  113.4  1.394E+11  8.900E+11  1.670E+11  4.610E+07
  114.0  1.309E+11  8.018E+11  1.482E+11  4.473E+07
  114.6  1.229E+11  7.231E+11  1.317E+11  4.345E+07
  115.2  1.154E+11  6.529E+11  1.172E+11  4.225E+07
  115.8  1.083E+11  5.904E+11  1.044E+11  4.112E+07
  116.4  1.017E+11  5.346E+11  9.320E+10  4.008E+07
  117.0  9.553E+10  4.850E+11  8.335E+10  3.912E+07
  117.6  8.977E+10  4.408E+11  7.470E+10  3.824E+07
  118.2  8.442E+10  4.015E+11  6.711E+10  3.744E+07
  118.8  7.948E+10  3.665E+11  6.044E+10  3.673E+07
  119.4  7.493E+10  3.355E+11  5.459E+10  3.611E+07
  120.0  7.077E+10  3.079E+11  4.947E+10  3.559E+07
  120.6  6.697E+10  2.835E+11  4.497E+10  3.516E+07
  121.2  6.353E+10  2.619E+11  4.104E+10  3.485E+07
  121.8  6.044E+10  2.429E+11  3.760E+10  3.464E+07
  122.4  5.769E+10  2.262E+11  3.461E+10  3.455E+07
  123.0  5.534E+10  2.118E+11  3.204E+10  3.460E+07
  123.6  5.311E+10  1.986E+11  2.971E+10  3.472E+07
  124.2  5.101E+10  1.864E+11  2.758E+10  3.489E+07
  124.8  4.902E+10  1.752E+11  2.565E+10  3.512E+07
  125.4  4.714E+10  1.649E+11  2.389E+10  3.539E+07
  126.0  4.536E+10  1.553E+11  2.228E+10  3.571E+07
  126.6  4.368E+10  1.465E+11  2.080E+10  3.607E+07
  127.2  4.207E+10  1.383E+11  1.945E+10  3.645E+07
  127.8  4.056E+10  1.307E+11  1.821E+10  3.685E+07
  128.4  3.911E+10  1.236E+11  1.707E+10  3.727E+07
  129.0  3.774E+10  1.170E+11  1.601E+10  3.770E+07
  129.6  3.643E+10  1.109E+11  1.504E+10  3.812E+07
  130.2  3.518E+10  1.051E+11  1.415E+10  3.853E+07
  130.8  3.400E+10  9.977E+10  1.332E+10  3.893E+07
  131.4  3.287E+10  9.476E+10  1.255E+10  3.931E+07
  132.0  3.179E+10  9.006E+10  1.183E+10  3.965E+07
  132.6  3.075E+10  8.566E+10  1.117E+10  3.996E+07
  133.2  2.977E+10  8.153E+10  1.055E+10  4.024E+07
  133.8  2.882E+10  7.765E+10  9.976E+09  4.048E+07
  134.4  2.792E+10  7.399E+10  9.440E+09  4.067E+07
  135.0  2.706E+10  7.056E+10  8.939E+09  4.083E+07
  135.6  2.623E+10  6.732E+10  8.471E+09  4.094E+07
  136.2  2.544E+10  6.427E+10  8.034E+09  4.101E+07
